"species_code","common_name","scientific_name","luomus_name","suomenkielinen_nimi","class"
"eueowl1","Eurasian Eagle-Owl","Bubo bubo","Bubo bubo","huuhkaja",27
"rengre","Red-necked Grebe","Podiceps grisegena","Podiceps grisegena","härkälintu",28
"wiltit1","Willow Tit","Poecile montanus","Parus montanus","hömötiainen",29
"grewar3","Greenish Warbler","Phylloscopus trochiloides","Phylloscopus trochiloides","idänuunilintu",30
"commer","Common Merganser","Mergus merganser","Mergus merganser","isokoskelo",31
"parcro2","Parrot Crossbill","Loxia pytyopsittacus","Loxia pytyopsittacus","isokäpylintu",32
"norshr1","Great Gray Shrike","Lanius excubitor","Lanius excubitor","isolepinkäinen",33
"redkno","Red Knot","Calidris canutus","Calidris canutus","isosirri",34
"greegr","Great Egret","Ardea alba","Ardea alba","jalohaikara",35
"norpin","Northern Pintail","Anas acuta","Anas acuta","jouhisorsa",36
"jacsni","Jack Snipe","Lymnocryptes minimus","Lymnocryptes minimus","jänkäkurppa",37
"brbsan","Broad-billed Sandpiper","Calidris falcinellus","Limicola falcinellus","jänkäsirriäinen",38
"brambl","Brambling","Fringilla montifringilla","Fringilla montifringilla","järripeippo",39
"retloo","Red-throated Loon","Gavia stellata","Gavia stellata","kaakkuri",40
"mewgul","Mew Gull","Larus canus","Larus canus","kalalokki",41
"comter","Common Tern","Sterna hirundo","Sterna hirundo","kalatiira",42
"cangoo","Canada Goose","Branta canadensis","Branta canadensis","kanadanhanhi",43
"norgos","Northern Goshawk","Accipiter gentilis","Accipiter gentilis","kanahaukka",44
"woolar1","Wood Lark","Lullula arborea","Lullula arborea","kangaskiuru",45
"eugplo","European Golden-Plover","Pluvialis apricaria","Pluvialis apricaria","kapustarinta",46
"rudtur","Ruddy Turnstone","Arenaria interpres","Arenaria interpres","karikukko",47
"grebit1","Great Bittern","Botaurus stellaris","Botaurus stellaris","kaulushaikara",48
"eurnig1","Eurasian Nightjar","Caprimulgus europaeus","Caprimulgus europaeus","kehrääjä",49
"eurser1","European Serin","Serinus serinus","Serinus serinus","keltahemppo",50
"yellow2","Yellowhammer","Emberiza citrinella","Emberiza citrinella","keltasirkku",51
"eaywag1","Western Yellow Wagtail","Motacilla flava","Motacilla flava","keltavästäräkki",52
"eurdot","Eurasian Dotterel","Charadrius morinellus","Charadrius morinellus","keräkurmitsa",53
"rocpig","Rock Pigeon","Columba livia","Columba livia","kesykyyhky",54
"rocpta1","Rock Ptarmigan","Lagopus muta","Lagopus muta","kiiruna",55
"lwfgoo","Lesser White-fronted Goose","Anser erythropus","Anser erythropus","kiljuhanhi",56
"grseag1","Greater Spotted Eagle","Clanga clanga","Aquila clanga","kiljukotka",57
"barwar1","Barred Warbler","Sylvia nisoria","Sylvia nisoria","kirjokerttu",58
"eupfly1","European Pied Flycatcher","Ficedula hypoleuca","Ficedula hypoleuca","kirjosieppo",59
"whwcro","White-winged Crossbill","Loxia leucoptera","Loxia leucoptera","kirjosiipikäpylintu",60
"skylar","Eurasian Skylark","Alauda arvensis","Alauda arvensis","kiuru",61
"norwhe","Northern Wheatear","Oenanthe oenanthe","Oenanthe oenanthe","kivitasku",62
"comrav","Common Raven","Corvus corax","Corvus corax","korppi",63
"whtdip1","White-throated Dipper","Cinclus cinclus","Cinclus cinclus","koskikara",64
"eursta","European Starling","Sturnus vulgaris","Sturnus vulgaris","kottarainen",65
"eugori2","Eurasian Golden Oriole","Oriolus oriolus","Oriolus oriolus","kuhankeittäjä",66
"arcloo","Arctic Loon","Gavia arctica","Gavia arctica","kuikka",67
"misthr1","Mistle Thrush","Turdus viscivorus","Turdus viscivorus","kulorastas",68
"ictwar1","Icterine Warbler","Hippolais icterina","Hippolais icterina","kultarinta",69
"comkin1","Common Kingfisher","Alcedo atthis","Alcedo atthis","kuningaskalastaja",70
"eurcur","Eurasian Curlew","Numenius arquata","Numenius arquata","kuovi",71
"cursan","Curlew Sandpiper","Calidris ferruginea","Calidris ferruginea","kuovisirri",72
